candidate,percentage,n_states,k_ref,k_candidate,overlap_count,overlap_pct_of_ref,overlap_pct_of_candidate,jaccard_pct
ppo_zreward_minus_0.05_zcost,40.0,1000000,400000,400000,200453,50.11325,50.11325,33.4340760607592
ppo_zreward_minus_0.1_zcost,5.0,1000000,50000,50000,495,0.99,0.99,0.4974624390734134
ppo_zreward_minus_0.1_zcost,10.0,1000000,100000,100000,2514,2.514,2.514,1.2730016304953262
ppo_zreward_minus_0.1_zcost,20.0,1000000,200000,200000,35220,17.61,17.61,9.655134601677723
ppo_zreward_minus_0.1_zcost,25.0,1000000,250000,250000,69154,27.6616,27.6616,16.05074667050408
ppo_zreward_minus_0.1_zcost,30.0,1000000,300000,300000,108686,36.22866666666667,36.22866666666667,22.121494604265298
ppo_zreward_minus_0.1_zcost,35.0,1000000,350000,350000,152791,43.65457142857143,43.65457142857143,27.92187263001888
ppo_zreward_minus_0.1_zcost,40.0,1000000,400000,400000,200391,50.09775,50.09775,33.420278881737936
ppo_zreward_minus_0.15_zcost,5.0,1000000,50000,50000,448,0.896,0.896,0.45001607200257154
ppo_zreward_minus_0.15_zcost,10.0,1000000,100000,100000,2623,2.623,2.623,1.3289289025570354
ppo_zreward_minus_0.15_zcost,20.0,1000000,200000,200000,35389,17.6945,17.6945,9.705960599104252
ppo_zreward_minus_0.15_zcost,25.0,1000000,250000,250000,69250,27.7,27.7,16.07661056297156
ppo_zreward_minus_0.15_zcost,30.0,1000000,300000,300000,108639,36.213,36.213,22.109813355150287
ppo_zreward_minus_0.15_zcost,35.0,1000000,350000,350000,152614,43.604,43.604,27.88050845290161
ppo_zreward_minus_0.15_zcost,40.0,1000000,400000,400000,200146,50.0365,50.0365,33.36578567451413
ppo_zreward_minus_0.2_zcost,5.0,1000000,50000,50000,425,0.85,0.85,0.42681395932714034
ppo_zreward_minus_0.2_zcost,10.0,1000000,100000,100000,2818,2.818,2.818,1.429136533760688
ppo_zreward_minus_0.2_zcost,20.0,1000000,200000,200000,35671,17.8355,17.8355,9.790875829264209
ppo_zreward_minus_0.2_zcost,25.0,1000000,250000,250000,69217,27.6868,27.6868,16.067718549710644
ppo_zreward_minus_0.2_zcost,30.0,1000000,300000,300000,108525,36.175,36.175,22.08148939417061
ppo_zreward_minus_0.2_zcost,35.0,1000000,350000,350000,152299,43.514,43.514,27.806960367061592
ppo_zreward_minus_0.2_zcost,40.0,1000000,400000,400000,199846,49.9615,49.9615,33.29911989256091
ppo_zreward_minus_0.25_zcost,5.0,1000000,50000,50000,415,0.83,0.83,0.4167294271225586
ppo_zreward_minus_0.25_zcost,10.0,1000000,100000,100000,3042,3.042,3.042,1.5444917190467002
ppo_zreward_minus_0.25_zcost,20.0,1000000,200000,200000,35831,17.9155,17.9155,9.839113159000354
ppo_zreward_minus_0.25_zcost,25.0,1000000,250000,250000,69141,27.6564,27.6564,16.04724515444728
ppo_zreward_minus_0.25_zcost,30.0,1000000,300000,300000,108367,36.12233333333333,36.12233333333333,22.042255096789678
ppo_zreward_minus_0.25_zcost,35.0,1000000,350000,350000,151943,43.412285714285716,43.412285714285716,27.723941122912397
ppo_zreward_minus_0.25_zcost,40.0,1000000,400000,400000,199442,49.8605,49.8605,33.20944854618538
ppo_zreward_minus_0.3_zcost,5.0,1000000,50000,50000,395,0.79,0.79,0.39656643742784
ppo_zreward_minus_0.3_zcost,10.0,1000000,100000,100000,3289,3.289,3.289,1.6719959737889594
ppo_zreward_minus_0.3_zcost,20.0,1000000,200000,200000,35991,17.9955,17.9955,9.887392894131738
ppo_zreward_minus_0.3_zcost,25.0,1000000,250000,250000,69091,27.6364,27.6364,16.033779753961973
ppo_zreward_minus_0.3_zcost,30.0,1000000,300000,300000,108255,36.085,36.085,22.014458713357534
ppo_zreward_minus_0.3_zcost,35.0,1000000,350000,350000,151639,43.325428571428574,43.325428571428574,27.653133610887718
ppo_zreward_minus_0.3_zcost,40.0,1000000,400000,400000,198927,49.73175,49.73175,33.09531454582056
