candidate,percentage,n_states,bottom_overlap_count,bottom_overlap_frac,top_overlap_count,top_overlap_frac,rank_pearson
ppo_zreward_minus_0.1_zcost,20.0,1000000,35220,17.61,75030,37.515,0.24848184342095503
ppo_zreward_minus_0.1_zcost,25.0,1000000,69154,27.6616,107638,43.0552,0.24848184342095503
ppo_zreward_minus_0.1_zcost,30.0,1000000,108686,36.22866666666667,143326,47.775333333333336,0.24848184342095503
ppo_zreward_minus_0.1_zcost,35.0,1000000,152791,43.65457142857143,180302,51.514857142857146,0.24848184342095503
ppo_zreward_minus_0.1_zcost,40.0,1000000,200391,50.09775,219373,54.84325,0.24848184342095503
ppo_zreward_minus_0.15_zcost,5.0,1000000,448,0.896,8049,16.098,0.24723627279715368
ppo_zreward_minus_0.15_zcost,10.0,1000000,2623,2.623,24921,24.921,0.24723627279715368
ppo_zreward_minus_0.15_zcost,20.0,1000000,35389,17.6945,74565,37.2825,0.24723627279715368
ppo_zreward_minus_0.15_zcost,25.0,1000000,69250,27.7,107269,42.9076,0.24723627279715368
ppo_zreward_minus_0.15_zcost,30.0,1000000,108639,36.213,142839,47.613,0.24723627279715368
ppo_zreward_minus_0.15_zcost,35.0,1000000,152614,43.604,179824,51.37828571428572,0.24723627279715368
ppo_zreward_minus_0.15_zcost,40.0,1000000,200146,50.0365,218959,54.73975,0.24723627279715368
ppo_zreward_minus_0.2_zcost,5.0,1000000,425,0.85,8014,16.028,0.24557031343713218
ppo_zreward_minus_0.2_zcost,10.0,1000000,2818,2.818,24729,24.729,0.24557031343713218
ppo_zreward_minus_0.2_zcost,20.0,1000000,35671,17.8355,74160,37.08,0.24557031343713218
ppo_zreward_minus_0.2_zcost,25.0,1000000,69217,27.6868,106787,42.7148,0.24557031343713218
ppo_zreward_minus_0.2_zcost,30.0,1000000,108525,36.175,142307,47.43566666666667,0.24557031343713218
ppo_zreward_minus_0.2_zcost,35.0,1000000,152299,43.514,179250,51.214285714285715,0.24557031343713218
ppo_zreward_minus_0.2_zcost,40.0,1000000,199846,49.9615,218447,54.61175,0.24557031343713218
ppo_zreward_minus_0.25_zcost,5.0,1000000,415,0.83,8020,16.04,0.24361166128671344
ppo_zreward_minus_0.25_zcost,10.0,1000000,3042,3.042,24564,24.564,0.24361166128671344
ppo_zreward_minus_0.25_zcost,20.0,1000000,35831,17.9155,73842,36.921,0.24361166128671344
ppo_zreward_minus_0.25_zcost,25.0,1000000,69141,27.6564,106275,42.51,0.24361166128671344
ppo_zreward_minus_0.25_zcost,30.0,1000000,108367,36.12233333333333,141675,47.225,0.24361166128671344
ppo_zreward_minus_0.25_zcost,35.0,1000000,151943,43.412285714285716,178677,51.05057142857143,0.24361166128671344
ppo_zreward_minus_0.25_zcost,40.0,1000000,199442,49.8605,217926,54.4815,0.24361166128671344
ppo_zreward_minus_0.3_zcost,5.0,1000000,395,0.79,8023,16.046,0.24147598384537805
ppo_zreward_minus_0.3_zcost,10.0,1000000,3289,3.289,24449,24.449,0.24147598384537805
ppo_zreward_minus_0.3_zcost,20.0,1000000,35991,17.9955,73526,36.763,0.24147598384537805
ppo_zreward_minus_0.3_zcost,25.0,1000000,69091,27.6364,105797,42.3188,0.24147598384537805
ppo_zreward_minus_0.3_zcost,30.0,1000000,108255,36.085,141088,47.029333333333334,0.24147598384537805
ppo_zreward_minus_0.3_zcost,35.0,1000000,151639,43.325428571428574,178054,50.872571428571426,0.24147598384537805
ppo_zreward_minus_0.3_zcost,40.0,1000000,198927,49.73175,217391,54.34775,0.24147598384537805
